grade,state,county,tract,school_address,school_name,latitude,longitude
K,11,11001,1,"5701 Broad Branch Rd. NW Washington, DC 20015",Lafayette ES,38.966446,-77.0679076
9,11,11001,1,"1720 1st St. NE Washington, DC 20002",CHOICE Academy @ Emery,38.9127078,-77.006549
K,11,11001,1,"6200 KANSAS AVENUE NE, Washington, District of Columbia 20011",Hope Community PCS - Lamond,38.9658162,-77.0085903
K,11,11001,1,"2600 DOUGLASS ROAD SE, Washington, District of Columbia 20020",KIPP DC - Discover Academy PCS,38.8563328,-76.9886426
K,11,11001,1,"7800 14th St. NW Washington, DC 20012",Shepherd ES,38.98471,-77.034304
9,11,11001,1,"151 T St. NE Washington, DC 20002",McKinley Technology HS,38.9145641,-77.004889
K,11,11001,1,"5001 Dana Pl. NW Washington, DC 20016",Key ES,38.926663,-77.1004891
K,11,11001,1,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,38.8399766,-76.9927414
9,11,11001,1,"3401 4th St. SE Washington, DC 20032",Ballou HS,38.8393559,-77.0014227
K,11,11001,1,"220 TALOR STREET NE, Washington, District of Columbia 20017",Washington Yu Ying PCS,38.9412959,-77.0036793
K,11,11001,1,"5 THOMAS CIRCLE NW, Washington, District of Columbia 20005",Dorothy I. Height Community Academy PCS - Butler Bilingual,38.906446,-77.032583
9,11,11001,1,"3701 HAYES STREET NE, Washington, District of Columbia 20019",Cesar Chavez PCS for Public Policy - Parkside High School,38.9013654,-76.9491059
9,11,11001,1,"6315 5th St. NW Washington, DC 20011",Coolidge HS,38.9672873,-77.0193303
9,11,11001,1,"3101 16th St. NW Washington, DC 20010",Columbia Heights EC (CHEC),38.9293355,-77.0354854
K,11,11001,1,"2701 Naylor Rd. SE Washington, DC 20020",Stanton ES,38.8592905,-76.9686198
K,11,11001,1,"1500 MISSISSIPPI AVENUE SE, Washington, District of Columbia 20032",Achievement Preparatory Academy PCS - Wahler Place Elementary School,38.8416965,-76.9836028
K,11,11001,1,"1017 NEW JERSEY AVENUE SE, Washington, District of Columbia 20003",Eagle Academy PCS - Capitol Riverfront,38.8778589,-77.0051215
K,11,11001,1,"725 19TH STREET NE, Washington, District of Columbia 20002",Friendship PCS - Blow Pierce Elementary School,38.898544,-76.976256
K,11,11001,1,"1445 C St. SE Washington, DC 20003",Payne ES,38.884501,-76.984559
K,11,11001,1,"920 F St. NE Washington, DC 20002",School-Within-School @ Goding,38.8976365,-76.9931809
9,11,11001,1,"709 12TH STREET SE, Washington, District of Columbia 20003",Cesar Chavez PCS for Public Policy - Capitol Hill,38.8807813,-76.9907031
K,11,11001,1,"2425 N St. NW Washington, DC 20037",SWW @ Francis Stevens,38.9076352,-77.0521452
9,11,11001,1,"704 26th St NE Washington, DC 20002",Phelps ACE HS,38.9020565,-76.9721088
9,11,11001,1,"770 M STREET SE, Washington, District of Columbia 20003",Richard Wright PCS for Journalism and Media Arts,38.877003,-76.995574
K,11,11001,1,"3219 O St. NW Washington, DC 20007",Hyde-Addison ES,38.9081992,-77.0648106
K,11,11001,1,"4400 Brooks St. NE Washington, DC 20019",Smothers ES,38.8936613,-76.9384696
K,11,11001,1,"3224 16TH STREET NW, Washington, District of Columbia 20010",Creative Minds International PCS,38.9315518,-77.0368058
9,11,11001,1,"5600 EAST CAPITOL STREET NE, Washington, District of Columbia 20019",Maya Angelou PCS - High School,38.8902854,-76.9199181
9,11,11001,1,"770 KENYON STREET NW, Washington, District of Columbia 20010",Cesar Chavez PCS for Public Policy - Chavez Prep,38.9296274,-77.0257406
K,11,11001,1,"1500 Mississippi Ave. SE Washington, DC 20032",Malcolm X ES @ Green,38.8416965,-76.9836028
K,11,11001,1,"219 50th St. SE Washington, DC 20019",Nalle ES,38.8860027,-76.9311143
K,11,11001,1,"2917 8TH STREET NE, Washington, District of Columbia 20017",Hope Community PCS - Tolson,38.927028,-76.9946004
K,11,11001,1,"3301 Lowell St. NW Washington, DC 20008",Eaton ES,38.9328813,-77.0657959
K,11,11001,1,"1565 Morris Rd. SE Washington, DC 20020",Moten ES,38.8564345,-76.9828753
K,11,11001,1,"701 HOWARD ROAD SE, Washington, District of Columbia 20020",Cedar Tree Academy PCS,38.8641137,-76.999207
K,11,11001,1,"1338 Farragut St. NW Washington, DC 20011",West EC,38.951334,-77.032481
9,11,11001,1,"2130 G St. NW Washington, DC 20037",School Without Walls HS,38.8980267,-77.0478993
K,11,11001,1,"2501 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Excel Academy PCS,38.8600148,-76.9952947
K,11,11001,1,"4600 LIVINGSTON ROAD SE, Washington, District of Columbia 20032",Ingenuity Prep PCS,38.8239326,-77.0031886
K,11,11001,1,"1328 FLORIDA AVENUE NW, Washington, District of Columbia 20009",Inspired Teaching Demonstration PCS,38.9201092,-77.030712
9,11,11001,1,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,38.9134539,-77.070384
K,11,11001,1,"401 Mississippi Ave. SE Washington, DC 20032",Simon ES,38.8359119,-77.0000152
9,11,11001,1,"4600 LIVINGSTON ROAD SE, Washington, District of Columbia 20032",National Collegiate Preparatory PCHS,38.8239326,-77.0031886
K,11,11001,1,"6201 5th St. NW Washington, DC 20011",Whittier EC,38.9658779,-77.019146
K,11,11001,1,"2801 Calvert St. NW and 2020 19th St. NW Washington, DC 20008",Oyster-Adams Bilingual,38.9235663,-77.0572024
K,11,11001,1,"215 G Street NE Washington , DC 20002",Cap Hill Montessori @ Logan,38.8985014,-77.0025711
K,11,11001,1,"4801 BENNING ROAD SE, Washington, District of Columbia 20019",KIPP DC - LEAP Academy PCS,38.8825058,-76.9342991
K,11,11001,1,"2525 17th St. NW Washington, DC 20009",H.D. Cooke ES,38.9239858,-77.0386752
K,11,11001,1,"100 PEABODY STREET NW, Washington, District of Columbia 20011",Capital City PCS - Lower School,38.9623329,-77.0126768
9,11,11001,1,"3950 Chesapeake St. NW Washington, DC 20016",Wilson HS,38.948989,-77.077029
K,11,11001,1,"1650 30th St. SE Washington, DC 20020",Randle Highlands ES,38.870144,-76.9638892
K,11,11001,1,"4001 Calvert St. NW Washington, DC 20007",Stoddert ES,38.922673,-77.078913
K,11,11001,1,"3100 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20032",Imagine Southeast PCS,38.8434779,-76.9981762
9,11,11001,1,"1851 9TH STREET NW, Washington, District of Columbia 20001",Hospitality High PCS,38.9153791,-77.0236583
