combo,Grade,universal_sch_id,tract,school_address,school_name,obs,duration
106Dunbar HS,9,467,106,"101 N St. NW Washington, DC 20001",Dunbar HS,10,7.0683331
106Ellington School of the Arts,9,471,106,"3500 R St. NW Washington, DC 20007",Ellington School of the Arts,6,26.283333
109Ballou HS,9,452,109,"3401 4th St. SE Washington, DC 20032",Ballou HS,9,7.9479165
109National Collegiate Preparatory PCHS,9,163 1120 226,109,"4600 LIVINGSTON ROAD SE, Washington, District of Columbia 20032",National Collegiate Preparatory PCHS,8,5.4854164
111Dunbar HS,9,467,111,"101 N St. NW Washington, DC 20001",Dunbar HS,6,12.549146
111McKinley Technology HS,9,458,111,"151 T St. NE Washington, DC 20002",McKinley Technology HS,6,11.223931
1Hyde-Addison ES,K,252,1,"3219 O St. NW Washington, DC 20007",Hyde-Addison ES,14,5.541667
2.02Hyde-Addison ES,K,252,2.02,"3219 O St. NW Washington, DC 20007",Hyde-Addison ES,11,3.0861111
3Stoddert ES,K,321,3,"4001 Calvert St. NW Washington, DC 20007",Stoddert ES,32,2.8092592
4Stoddert ES,K,321,4,"4001 Calvert St. NW Washington, DC 20007",Stoddert ES,7,4.6805558
5.0100002Oyster-Adams Bilingual,K,292,5.0100002,"2801 Calvert St. NW and 2020 19th St. NW Washington, DC 20008",Oyster-Adams Bilingual,9,4.0708332
5.02Oyster-Adams Bilingual,K,292,5.02,"2801 Calvert St. NW and 2020 19th St. NW Washington, DC 20008",Oyster-Adams Bilingual,15,4.3307691
5.02Eaton ES,K,232,5.02,"3301 Lowell St. NW Washington, DC 20008",Eaton ES,7,3.3551283
7.0100002Stoddert ES,K,321,7.0100002,"4001 Calvert St. NW Washington, DC 20007",Stoddert ES,16,4.7487178
7.02Stoddert ES,K,321,7.02,"4001 Calvert St. NW Washington, DC 20007",Stoddert ES,19,2.2638888
8.0100002Mann ES,K,273,8.0100002,"4430 Newark St. NW Washington, DC 20016",Mann ES,25,3.965873
8.0100002Key ES,K,272,8.0100002,"5001 Dana Pl. NW Washington, DC 20016",Key ES,18,4.7777777
8.0200005Key ES,K,272,8.0200005,"5001 Dana Pl. NW Washington, DC 20016",Key ES,20,5.7130952
9.0100002Mann ES,K,273,9.0100002,"4430 Newark St. NW Washington, DC 20016",Mann ES,22,4.651515
9.0100002Key ES,K,272,9.0100002,"5001 Dana Pl. NW Washington, DC 20016",Key ES,6,5.2954545
9.0200005Key ES,K,272,9.0200005,"5001 Dana Pl. NW Washington, DC 20016",Key ES,12,1.9055555
10.01Janney ES,K,254,10.01,"4130 Albemarle St. NW Washington, DC 20016",Janney ES,81,#N/A
10.02Eaton ES,K,232,10.02,"3301 Lowell St. NW Washington, DC 20008",Eaton ES,16,6.0555553
11Janney ES,K,254,11,"4130 Albemarle St. NW Washington, DC 20016",Janney ES,12,5.4737372
11Murch ES,K,287,11,"4810 36th St. NW Washington, DC 20008",Murch ES,31,3.9989898
12Hearst ES,K,258,12,"3950 37th St. NW Washington, DC 20008",Hearst ES,10,3.3215277
12Janney ES,K,254,12,"4130 Albemarle St. NW Washington, DC 20016",Janney ES,6,4.3097224
12Murch ES,K,287,12,"4810 36th St. NW Washington, DC 20008",Murch ES,21,2.58125
13.01Murch ES,K,287,13.01,"4810 36th St. NW Washington, DC 20008",Murch ES,25,3.2294872
14.01Lafayette ES,K,261,14.01,"5701 Broad Branch Rd. NW Washington, DC 20015",Lafayette ES,20,1.8657408
14.02Murch ES,K,287,14.02,"4810 36th St. NW Washington, DC 20008",Murch ES,23,4.4052634
14.02Lafayette ES,K,261,14.02,"5701 Broad Branch Rd. NW Washington, DC 20015",Lafayette ES,19,3.0859649
15Lafayette ES,K,261,15,"5701 Broad Branch Rd. NW Washington, DC 20015",Lafayette ES,60,3.4055555
16Shepherd ES,K,313,16,"7800 14th St. NW Washington, DC 20012",Shepherd ES,22,2.5308824
18.030001Dorothy I. Height Community Academy PCS - Amos 1,K,113 105 315,18.030001,"1300 ALLISON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 1,12,7.5212121
18.030001Brightwood EC,K,213,18.030001,"1300 Nicholson St. NW Washington, DC 20011",Brightwood EC,15,3.5787878
18.030001Center City PCS - Brightwood,K,156 1103 163,18.030001,"6008 GEORGIA AVENUE NW, Washington, District of Columbia 20011",Center City PCS - Brightwood,7,3.8424242
18.040001Brightwood EC,K,213,18.040001,"1300 Nicholson St. NW Washington, DC 20011",Brightwood EC,30,2.7249999
18.040001Powell ES,K,300,18.040001,"1350 Upshur St. NW Washington, DC 20011",Powell ES,7,7.9560609
18.040001Center City PCS - Brightwood,K,156 1103 163,18.040001,"6008 GEORGIA AVENUE NW, Washington, District of Columbia 20011",Center City PCS - Brightwood,11,2.6492424
18.040001Takoma EC,K,324,18.040001,"7010 Piney Branch Rd. NW Washington, DC 20012",Takoma EC,7,5.1068182
19.01Whittier EC,K,338,19.01,"6201 5th St. NW Washington, DC 20011",Whittier EC,16,1.9994444
20.01Brightwood EC,K,213,20.01,"1300 Nicholson St. NW Washington, DC 20011",Brightwood EC,14,2.0986111
20.02Brightwood EC,K,213,20.02,"1300 Nicholson St. NW Washington, DC 20011",Brightwood EC,7,2.782639
20.02West EC,K,336,20.02,"1338 Farragut St. NW Washington, DC 20011",West EC,8,1.8472222
21.01Dorothy I. Height Community Academy PCS - Amos 2,K,113 158 313,21.01,"33 RIGGS ROAD NE, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 2,13,5.5307293
21.01Whittier EC,K,338,21.01,"6201 5th St. NW Washington, DC 20011",Whittier EC,6,4.7432294
21.01Truesdell EC,K,327,21.01,"800 Ingraham St. NW Washington, DC 20011",Truesdell EC,40,1.6739583
21.02Barnard ES,K,205,21.02,"430 Decatur St. NW Washington, DC 20011",Barnard ES,6,3.8223958
21.02Hope Community PCS - Lamond,K,121 131 201,21.02,"6200 KANSAS AVENUE NE, Washington, District of Columbia 20011",Hope Community PCS - Lamond,8,3.909375
21.02Truesdell EC,K,327,21.02,"800 Ingraham St. NW Washington, DC 20011",Truesdell EC,14,3.7458334
22.01Dorothy I. Height Community Academy PCS - Amos 1,K,113 105 315,22.01,"1300 ALLISON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 1,7,3.9666667
22.01Barnard ES,K,205,22.01,"430 Decatur St. NW Washington, DC 20011",Barnard ES,6,2.2224638
22.01Truesdell EC,K,327,22.01,"800 Ingraham St. NW Washington, DC 20011",Truesdell EC,7,2.5956521
22.02Barnard ES,K,205,22.02,"430 Decatur St. NW Washington, DC 20011",Barnard ES,34,1.8424243
23.01Barnard ES,K,205,23.01,"430 Decatur St. NW Washington, DC 20011",Barnard ES,12,3.1416667
25.01Dorothy I. Height Community Academy PCS - Amos 1,K,113 105 315,25.01,"1300 ALLISON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 1,10,2.0739584
25.02Dorothy I. Height Community Academy PCS - Amos 1,K,113 105 315,25.02,"1300 ALLISON STREET NW, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 1,8,3.4103174
25.02Powell ES,K,300,25.02,"1350 Upshur St. NW Washington, DC 20011",Powell ES,20,2.7801588
25.02Bridges PCS,K,107 142 155,25.02,"4300 13TH STREET NW, Washington, District of Columbia 20011",Bridges PCS,6,2.8436508
25.02Raymond EC,K,302,25.02,"915 Spring Rd. NW Washington, DC 20010",Raymond EC,15,2.8888888
27.01Bancroft ES,K,204,27.01,"1755 Newton St. NW Washington, DC 20010",Bancroft ES,22,1.6833333
27.02Bancroft ES,K,204,27.02,"1755 Newton St. NW Washington, DC 20010",Bancroft ES,13,3.3140352
28.01Bancroft ES,K,204,28.01,"1755 Newton St. NW Washington, DC 20010",Bancroft ES,18,4.4863639
28.01Raymond EC,K,302,28.01,"915 Spring Rd. NW Washington, DC 20010",Raymond EC,14,4.7393942
28.02Tubman ES,K,328,28.02,"3101 13th St. NW Washington, DC 20010",Tubman ES,28,4.4333334
29Tubman ES,K,328,29,"3101 13th St. NW Washington, DC 20010",Tubman ES,6,3.0722222
29Raymond EC,K,302,29,"915 Spring Rd. NW Washington, DC 20010",Raymond EC,17,2.7787037
30Tubman ES,K,328,30,"3101 13th St. NW Washington, DC 20010",Tubman ES,17,1.4518518
31Tubman ES,K,328,31,"3101 13th St. NW Washington, DC 20010",Tubman ES,7,3.159375
31Bruce-Monroe ES @ Park View,K,296,31,"3560 Warder St. NW Washington, DC 20010",Bruce-Monroe ES @ Park View,11,3.91875
32Bruce-Monroe ES @ Park View,K,296,32,"3560 Warder St. NW Washington, DC 20010",Bruce-Monroe ES @ Park View,36,2.4611111
35Tubman ES,K,328,35,"3101 13th St. NW Washington, DC 20010",Tubman ES,7,3.6190476
36Meridian PCS,K,135 165 222,36,"2120 13TH STREET NW, Washington, District of Columbia 20009",Meridian PCS,8,2.6757576
36Tubman ES,K,328,36,"3101 13th St. NW Washington, DC 20010",Tubman ES,9,2.8954546
37Meridian PCS,K,135 165 222,37,"2120 13TH STREET NW, Washington, District of Columbia 20009",Meridian PCS,7,4.1083336
37Marie Reed ES,K,284,37,"2201 18th St. NW Washington, DC 20009",Marie Reed ES,8,5.6402779
37H.D. Cooke ES,K,227,37,"2525 17th St. NW Washington, DC 20009",H.D. Cooke ES,17,4.2055554
38Marie Reed ES,K,284,38,"2201 18th St. NW Washington, DC 20009",Marie Reed ES,12,3.3388889
40.009998Oyster-Adams Bilingual,K,292,40.009998,"2801 Calvert St. NW and 2020 19th St. NW Washington, DC 20008",Oyster-Adams Bilingual,18,4.6484847
43Garrison ES,K,239,43,"1200 S St. NW Washington, DC 20009",Garrison ES,7,3.9666667
46Dorothy I. Height Community Academy PCS - Amos 3,K,113 1109 312,46,"1400 1ST STREET NW, Washington, District of Columbia 20001",Dorothy I. Height Community Academy PCS - Amos 3,7,2.3083334
47.009998Walker-Jones EC,K,332,47.009998,"1125 New Jersey Ave. NW Washington, DC 20001",Walker-Jones EC,12,3.4983335
47.009998Dorothy I. Height Community Academy PCS - Amos 3,K,113 1109 312,47.009998,"1400 1ST STREET NW, Washington, District of Columbia 20001",Dorothy I. Height Community Academy PCS - Amos 3,14,5.6149998
47.02Walker-Jones EC,K,332,47.02,"1125 New Jersey Ave. NW Washington, DC 20001",Walker-Jones EC,13,2.6357143
48.009998Cleveland ES,K,224,48.009998,"1825 8th St. NW Washington, DC 20001",Cleveland ES,6,3.7986112
49.009998Cleveland ES,K,224,49.009998,"1825 8th St. NW Washington, DC 20001",Cleveland ES,9,1.7904762
49.02Thomson ES,K,326,49.02,"1200 L St. NW Washington, DC 20005",Thomson ES,7,4.7216668
50.02Thomson ES,K,326,50.02,"1200 L St. NW Washington, DC 20005",Thomson ES,15,2.954762
52.009998Ross ES,K,305,52.009998,"1730 R St. NW Washington, DC 20009",Ross ES,6,3.9714286
53.009998Ross ES,K,305,53.009998,"1730 R St. NW Washington, DC 20009",Ross ES,15,2.9683332
64KIPP DC - Spring Academy PCS,K,129 214 214,64,"1375 MOUNT OLIVET ROAD NE, Washington, District of Columbia 20002",KIPP DC - Spring Academy PCS,6,15.382222
64Amidon-Bowen ES,K,203,64,"401 I St. SW Washington, DC 20024",Amidon-Bowen ES,16,5.2655554
65Brent ES,K,212,65,"301 North Carolina Ave. SE Washington, DC 20003",Brent ES,18,2.1125
66Brent ES,K,212,66,"301 North Carolina Ave. SE Washington, DC 20003",Brent ES,12,3.0590909
67Peabody ES (Capitol Hill Clus),K,301,67,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),8,6.2583332
67School-Within-School @ Goding,K,943,67,"920 F St. NE Washington, DC 20002",School-Within-School @ Goding,6,5.4208331
68.010002Payne ES,K,295,68.010002,"1445 C St. SE Washington, DC 20003",Payne ES,6,2.1583333
68.019997Payne ES,K,295,68.019997,"1445 C St. SE Washington, DC 20003",Payne ES,11,2.0977778
68.019997Peabody ES (Capitol Hill Clus),K,301,68.019997,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),7,9.0322218
69Peabody ES (Capitol Hill Clus),K,301,69,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),7,7.9121213
70Brent ES,K,212,70,"301 North Carolina Ave. SE Washington, DC 20003",Brent ES,8,3.4742424
71Tyler ES,K,330,71,"1001 G St. SE Washington, DC 20003",Tyler ES,15,3.0383334
73.010002Leckie ES,K,266,73.010002,"4201 M.L. King Ave. SW Washington, DC 20032",Leckie ES,33,5.5931816
73.040001Malcolm X ES @ Green,K,308,73.040001,"1500 Mississippi Ave. SE Washington, DC 20032",Malcolm X ES @ Green,19,2.4549999
"73.040001King, M.L. ES",K,344,73.040001,"3200 6th St. SE Washington, DC 20032","King, M.L. ES",8,3.8691666
73.040001Turner ES,K,329,73.040001,"3264 Stanton Rd. SE Washington, DC 20032",Turner ES,7,3.27
73.040001Eagle Academy PCS - Congress Heights,K,117 195 187,73.040001,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,14,2.2983334
73.040001Friendship PCS - Southeast Academy,K,120 113 197,73.040001,"645 MILWAUKEE PLACE SE, Washington, District of Columbia 20032",Friendship PCS - Southeast Academy,6,5.4749999
74.010002Savoy ES,K,307,74.010002,"2400 Shannon Pl. SE Washington, DC 20020",Savoy ES,18,4.2449999
74.010002Excel Academy PCS,K,158 1113 191,74.010002,"2501 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Excel Academy PCS,16,2.4266667
74.029999Garfield ES,K,238,74.029999,"2435 Alabama Ave. SE Washington, DC 20020",Garfield ES,6,3.6638889
74.040001Turner ES,K,329,74.040001,"3264 Stanton Rd. SE Washington, DC 20032",Turner ES,17,1.6408334
74.059998Moten ES,K,285,74.059998,"1565 Morris Rd. SE Washington, DC 20020",Moten ES,31,3.2777777
74.059998Savoy ES,K,307,74.059998,"2400 Shannon Pl. SE Washington, DC 20020",Savoy ES,9,5.7888889
74.059998Excel Academy PCS,K,158 1113 191,74.059998,"2501 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Excel Academy PCS,6,4.811111
74.059998KIPP DC - Discover Academy PCS,K,129 1122 211,74.059998,"2600 DOUGLASS ROAD SE, Washington, District of Columbia 20020",KIPP DC - Discover Academy PCS,16,1.761111
74.059998Cedar Tree Academy PCS,K,123 188 162,74.059998,"701 HOWARD ROAD SE, Washington, District of Columbia 20020",Cedar Tree Academy PCS,7,6.0777779
74.07Moten ES,K,285,74.07,"1565 Morris Rd. SE Washington, DC 20020",Moten ES,14,1.977451
74.07Savoy ES,K,307,74.07,"2400 Shannon Pl. SE Washington, DC 20020",Savoy ES,12,4.2803922
74.080002Garfield ES,K,238,74.080002,"2435 Alabama Ave. SE Washington, DC 20020",Garfield ES,12,2.0939393
74.080002Stanton ES,K,319,74.080002,"2701 Naylor Rd. SE Washington, DC 20020",Stanton ES,29,3.4742424
74.089996Garfield ES,K,238,74.089996,"2435 Alabama Ave. SE Washington, DC 20020",Garfield ES,6,3.5642858
74.089996Turner ES,K,329,74.089996,"3264 Stanton Rd. SE Washington, DC 20032",Turner ES,27,2.7904761
74.089996Eagle Academy PCS - Congress Heights,K,117 195 187,74.089996,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,9,4.6214285
75.019997Stanton ES,K,319,75.019997,"2701 Naylor Rd. SE Washington, DC 20020",Stanton ES,27,2.54
75.019997Eagle Academy PCS - Congress Heights,K,117 195 187,75.019997,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,7,8.2344446
75.019997KIPP DC - LEAP Academy PCS,K,129 132 209,75.019997,"4801 BENNING ROAD SE, Washington, District of Columbia 20019",KIPP DC - LEAP Academy PCS,6,13.67
75.029999Moten ES,K,285,75.029999,"1565 Morris Rd. SE Washington, DC 20020",Moten ES,8,3.4333334
75.029999Ketcham ES,K,257,75.029999,"1919 15th St. SE Washington, DC 20020",Ketcham ES,9,2.4847221
75.029999Savoy ES,K,307,75.029999,"2400 Shannon Pl. SE Washington, DC 20020",Savoy ES,9,3.5930555
75.040001Moten ES,K,285,75.040001,"1565 Morris Rd. SE Washington, DC 20020",Moten ES,13,2.840909
75.040001Ketcham ES,K,257,75.040001,"1919 15th St. SE Washington, DC 20020",Ketcham ES,23,2.8469696
75.040001Cedar Tree Academy PCS,K,123 188 162,75.040001,"701 HOWARD ROAD SE, Washington, District of Columbia 20020",Cedar Tree Academy PCS,6,6.4575758
76.010002Ketcham ES,K,257,76.010002,"1919 15th St. SE Washington, DC 20020",Ketcham ES,6,3.1908603
76.010002Orr ES,K,291,76.010002,"2200 Minnesota Ave. SE Washington, DC 20020",Orr ES,20,1.9215053
76.029999Beers ES,K,206,76.029999,"3600 Alabama Ave. SE Washington, DC 20020",Beers ES,11,2.9482143
76.040001Randle Highlands ES,K,316,76.040001,"1650 30th St. SE Washington, DC 20020",Randle Highlands ES,11,2.5685184
76.040001Beers ES,K,206,76.040001,"3600 Alabama Ave. SE Washington, DC 20020",Beers ES,6,3.8895061
76.050003Ketcham ES,K,257,76.050003,"1919 15th St. SE Washington, DC 20020",Ketcham ES,8,2.1533334
77.029999Kimball ES,K,259,77.029999,"3375 Minnesota Ave. SE Washington, DC 20019",Kimball ES,22,3.6272726
77.029999Plummer ES,K,299,77.029999,"4601 Texas Ave. SE Washington, DC 20019",Plummer ES,21,2.8560605
77.07C.W. Harris ES,K,247,77.07,"301 53rd St. SE Washington, DC 20019",C.W. Harris ES,8,4.0257578
77.07Plummer ES,K,299,77.07,"4601 Texas Ave. SE Washington, DC 20019",Plummer ES,13,4.2712121
77.07KIPP DC - LEAP Academy PCS,K,129 132 209,77.07,"4801 BENNING ROAD SE, Washington, District of Columbia 20019",KIPP DC - LEAP Academy PCS,6,2.8484848
77.080002Kimball ES,K,259,77.080002,"3375 Minnesota Ave. SE Washington, DC 20019",Kimball ES,20,1.6864583
78.029999Smothers ES,K,322,78.029999,"4400 Brooks St. NE Washington, DC 20019",Smothers ES,17,2.1333332
78.040001Arts and Technology Academy PCS,K,104 181 321,78.040001,"5300 BLAINE STREET NE, Washington, District of Columbia 20019",Arts and Technology Academy PCS,9,3.8448718
78.040001Aiton ES,K,202,78.040001,"533 48th Pl. NE Washington, DC 20019",Aiton ES,19,2.4711537
78.059998Houston ES,K,251,78.059998,"1100 50th Pl. NE Washington, DC 20019",Houston ES,24,2.1303029
78.07Burrville ES,K,221,78.07,"801 Division Ave. NE Washington, DC 20019",Burrville ES,8,2.0285714
78.080002Arts and Technology Academy PCS,K,104 181 321,78.080002,"5300 BLAINE STREET NE, Washington, District of Columbia 20019",Arts and Technology Academy PCS,24,2.645
78.080002Drew ES,K,231,78.080002,"5600 Eads St. NE Washington, DC 20019",Drew ES,9,2.7277777
78.080002Burrville ES,K,221,78.080002,"801 Division Ave. NE Washington, DC 20019",Burrville ES,6,3.5122223
78.089996Houston ES,K,251,78.089996,"1100 50th Pl. NE Washington, DC 20019",Houston ES,9,3.0433333
78.089996Burrville ES,K,221,78.089996,"801 Division Ave. NE Washington, DC 20019",Burrville ES,15,2.8891666
79.010002Miner ES,K,280,79.010002,"601 15th St. NE Washington, DC 20002",Miner ES,18,2.4938595
79.029999Friendship PCS - Blow Pierce Elementary School,K,120 361 193,79.029999,"725 19TH STREET NE, Washington, District of Columbia 20002",Friendship PCS - Blow Pierce Elementary School,7,2.1984849
80.010002Maury ES,K,274,80.010002,"1250 Constitution Ave. NE Washington, DC 20002",Maury ES,9,2.3215687
80.019997Maury ES,K,274,80.019997,"1250 Constitution Ave. NE Washington, DC 20002",Maury ES,16,2.0351851
81Maury ES,K,274,81,"1250 Constitution Ave. NE Washington, DC 20002",Maury ES,10,2.437037
81Peabody ES (Capitol Hill Clus),K,301,81,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),10,3.7861111
82Peabody ES (Capitol Hill Clus),K,301,82,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),8,2.7666667
82School-Within-School @ Goding,K,943,82,"920 F St. NE Washington, DC 20002",School-Within-School @ Goding,6,4.4454546
83.019997Peabody ES (Capitol Hill Clus),K,301,83.019997,"425 C St NE Washington, DC 20002",Peabody ES (Capitol Hill Clus),6,2.6055555
87.010002Langley ES,K,370,87.010002,"101 T Street NE Washington, DC 20002",Langley ES,8,1.7989583
87.019997Langley ES,K,370,87.019997,"101 T Street NE Washington, DC 20002",Langley ES,7,2.1358974
88.019997Wheatley EC,K,335,88.019997,"1299 Neal St. NE Washington, DC 20002",Wheatley EC,22,1.7969697
88.019997J.O. Wilson ES,K,339,88.019997,"660 K St. NE Washington, DC 20002",J.O. Wilson ES,6,3.9537878
88.029999Wheatley EC,K,335,88.029999,"1299 Neal St. NE Washington, DC 20002",Wheatley EC,8,4.1781249
88.040001Wheatley EC,K,335,88.040001,"1299 Neal St. NE Washington, DC 20002",Wheatley EC,8,3.1944444
88.040001KIPP DC - Spring Academy PCS,K,129 214 214,88.040001,"1375 MOUNT OLIVET ROAD NE, Washington, District of Columbia 20002",KIPP DC - Spring Academy PCS,8,1.6755556
89.029999Friendship PCS - Blow Pierce Elementary School,K,120 361 193,89.029999,"725 19TH STREET NE, Washington, District of Columbia 20002",Friendship PCS - Blow Pierce Elementary School,6,5.3559523
89.040001Miner ES,K,280,89.040001,"601 15th St. NE Washington, DC 20002",Miner ES,9,5.6666665
89.040001Friendship PCS - Blow Pierce Elementary School,K,120 361 193,89.040001,"725 19TH STREET NE, Washington, District of Columbia 20002",Friendship PCS - Blow Pierce Elementary School,10,3.9511111
89.040001Browne EC,K,404,89.040001,"850 26th St. NE Washington, DC 20002",Browne EC,11,2.8944445
91.019997Mary McLeod Bethune Day Academy PCS,K,132 135 220,91.019997,"1404 JACKSON STREET NE, Washington, District of Columbia 20017",Mary McLeod Bethune Day Academy PCS,12,4.7623186
91.019997Langdon EC,K,262,91.019997,"1900 Evarts St. NE Washington, DC 20018",Langdon EC,14,3.3318841
91.019997Tree of Life PCS,K,147 183 268,91.019997,"2315 18TH PLACE NE, Washington, District of Columbia 20018",Tree of Life PCS,10,3.8173914
91.019997Noyes EC,K,290,91.019997,"2725 10th St. NE Washington, DC 20018",Noyes EC,8,4.5623188
92.040001Noyes EC,K,290,92.040001,"2725 10th St. NE Washington, DC 20018",Noyes EC,6,3.1222222
93.010002Burroughs EC,K,220,93.010002,"1820 Monroe St. NE Washington, DC 20018",Burroughs EC,10,2.4404039
94Burroughs EC,K,220,94,"1820 Monroe St. NE Washington, DC 20018",Burroughs EC,8,3.0935898
94Elsie Whitlow Stokes Community Freedom PCS,K,144 159 190,94,"3700 OAKVIEW TERRACE NE, Washington, District of Columbia 20017",Elsie Whitlow Stokes Community Freedom PCS,6,5.6311965
95.010002Dorothy I. Height Community Academy PCS - Amos 2,K,113 158 313,95.010002,"33 RIGGS ROAD NE, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 2,14,3.8166666
95.010002Barnard ES,K,205,95.010002,"430 Decatur St. NW Washington, DC 20011",Barnard ES,10,5.9314814
95.010002LaSalle-Backus EC,K,264,95.010002,"501 Riggs Rd. NE Washington, DC 20011",LaSalle-Backus EC,6,5.8990741
95.050003Dorothy I. Height Community Academy PCS - Amos 2,K,113 158 313,95.050003,"33 RIGGS ROAD NE, Washington, District of Columbia 20011",Dorothy I. Height Community Academy PCS - Amos 2,6,3.6770833
95.050003LaSalle-Backus EC,K,264,95.050003,"501 Riggs Rd. NE Washington, DC 20011",LaSalle-Backus EC,6,2.6229167
95.07LaSalle-Backus EC,K,264,95.07,"501 Riggs Rd. NE Washington, DC 20011",LaSalle-Backus EC,11,2.0450001
96.010002Ideal Academy PCS,K,127 134 205,96.010002,"6130 NORTH CAPITOL STREET NW, Washington, District of Columbia 20011",Ideal Academy PCS,8,26.783333
96.010002Thomas ES,K,325,96.010002,"650 Anacostia Ave NE Washington, DC 20019",Thomas ES,17,6.4000001
96.019997KIPP DC - Spring Academy PCS,K,129 214 214,96.019997,"1375 MOUNT OLIVET ROAD NE, Washington, District of Columbia 20002",KIPP DC - Spring Academy PCS,6,9.3458338
96.019997Thomas ES,K,325,96.019997,"650 Anacostia Ave NE Washington, DC 20019",Thomas ES,36,3.2861111
96.029999DC Prep PCS - Benning Elementary School,K,115 1110 177,96.029999,"100 41ST STREET NE, Washington, District of Columbia 20019",DC Prep PCS - Benning Elementary School,6,3.8696079
97Eagle Academy PCS - Congress Heights,K,117 195 187,97,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,7,3.0166667
97Hendley ES,K,249,97,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,16,3.9320512
98.010002Hendley ES,K,249,98.010002,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,8,2.9875
98.019997Early Childhood Academy PCS,K,118 138 188,98.019997,"4025 9TH STREET SE, Washington, District of Columbia 20032",Early Childhood Academy PCS,10,2.0972223
98.019997Hendley ES,K,249,98.019997,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,8,1.5305556
98.029999Simon ES,K,315,98.029999,"401 Mississippi Ave. SE Washington, DC 20032",Simon ES,18,1.8238095
"98.040001King, M.L. ES",K,344,98.040001,"3200 6th St. SE Washington, DC 20032","King, M.L. ES",12,2.1402779
98.040001Simon ES,K,315,98.040001,"401 Mississippi Ave. SE Washington, DC 20032",Simon ES,6,1.888889
98.07Leckie ES,K,266,98.07,"4201 M.L. King Ave. SW Washington, DC 20032",Leckie ES,18,1.7322917
98.07Patterson ES,K,294,98.07,"4399 South Capitol Terr. SW Washington, DC 20032",Patterson ES,13,2.6395833
98.099998Hendley ES,K,249,98.099998,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,10,3.0818181
98.099998Patterson ES,K,294,98.099998,"4399 South Capitol Terr. SW Washington, DC 20032",Patterson ES,11,2.7045455
98.110001Excel Academy PCS,K,158 1113 191,98.110001,"2501 MARTIN LUTHER KING JR AVENUE SE, Washington, District of Columbia 20020",Excel Academy PCS,6,10
98.110001Eagle Academy PCS - Congress Heights,K,117 195 187,98.110001,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,10,5.7433333
98.110001Hendley ES,K,249,98.110001,"425 Chesapeake St. SE Washington, DC 20032",Hendley ES,38,2.1083333
99.010002Randle Highlands ES,K,316,99.010002,"1650 30th St. SE Washington, DC 20020",Randle Highlands ES,7,3.2675438
99.019997Beers ES,K,206,99.019997,"3600 Alabama Ave. SE Washington, DC 20020",Beers ES,9,3.6519608
99.029999Arts and Technology Academy PCS,K,104 181 321,99.029999,"5300 BLAINE STREET NE, Washington, District of Columbia 20019",Arts and Technology Academy PCS,6,3.0999999
99.040001Nalle ES,K,288,99.040001,"219 50th St. SE Washington, DC 20019",Nalle ES,22,1.3111111
99.040001KIPP DC - LEAP Academy PCS,K,129 132 209,99.040001,"4801 BENNING ROAD SE, Washington, District of Columbia 20019",KIPP DC - LEAP Academy PCS,7,2.5511112
99.050003Nalle ES,K,288,99.050003,"219 50th St. SE Washington, DC 20019",Nalle ES,9,2.83125
99.050003C.W. Harris ES,K,247,99.050003,"301 53rd St. SE Washington, DC 20019",C.W. Harris ES,17,2.0701389
99.050003Eagle Academy PCS - Congress Heights,K,117 195 187,99.050003,"3400 WHEELER ROAD SE, Washington, District of Columbia 20032",Eagle Academy PCS - Congress Heights,6,19.777779
99.059998Plummer ES,K,299,99.059998,"4601 Texas Ave. SE Washington, DC 20019",Plummer ES,6,2.4444444
99.07Nalle ES,K,288,99.07,"219 50th St. SE Washington, DC 20019",Nalle ES,6,3.8530302
