school_name,drivedura_50,drivedura_mean,drive_traf_dura_50,drive_traf_dura_mean,transdura_50,transdura_mean,tractLat,tractLon,schoolLat,schoolLon
Center City PCS - Capitol Hill,6.8833332,6.8833332,7.9333334,7.9333334,19.216667,19.216667,38.885666,-76.949254,38.8894353,-76.9831822
Center City PCS - Capitol Hill,9.8000002,9.3833332,12.416667,12.127778,23,22.872223,38.882388,-76.938452,38.8894353,-76.9831822
Center City PCS - Capitol Hill,8.6999998,8.6999998,11.266666,11.266666,20.666666,20.666666,38.903666,-76.949312,38.8894353,-76.9831822
Center City PCS - Capitol Hill,11.066667,11.066667,13.866667,13.866667,28.766666,28.766666,38.866992,-76.966028,38.8894353,-76.9831822
Center City PCS - Capitol Hill,10.383333,10.383333,14.416667,14.416667,27.366667,27.366667,38.895319,-76.931306,38.8894353,-76.9831822
Center City PCS - Petworth,33.933334,33.933334,42,42,77.400002,77.400002,38.878294,-76.933826,38.9437731,-77.0208683
Center City PCS - Petworth,28.25,28.25,33.816666,33.816666,61.200001,61.200001,38.89141,-76.946969,38.9437731,-77.0208683
Center City PCS - Shaw,26.783333,26.783333,32.816666,32.816666,47.349998,47.349998,38.882388,-76.938452,38.9074271,-77.0224468
Center City PCS - Trinidad,14.483334,14.088889,16.4,16.027777,45.400002,45.41111,38.885666,-76.949254,38.905386,-76.991479
Center City PCS - Trinidad,19.4,19.4,22.450001,22.450001,58.599998,58.599998,38.859671,-76.957864,38.905386,-76.991479
Center City PCS - Trinidad,18.633333,18.633333,21.466667,21.466667,41.566666,41.566666,38.866992,-76.966028,38.905386,-76.991479
Center City PCS - Trinidad,11.25,11.25,13.566667,13.566667,40.416668,40.416668,38.903666,-76.949312,38.905386,-76.991479
Center City PCS - Trinidad,16.283333,16.283333,19.583334,19.583334,48.533333,48.533333,38.882388,-76.938452,38.905386,-76.991479
City Arts & Prep PCS,27.216667,27.216667,37.099998,37.099998,64.199997,64.199997,38.859671,-76.957864,38.9236618,-76.9957981
City Arts & Prep PCS,24.583334,24.583334,32,32,58.033333,58.033333,38.892819,-76.92035,38.9236618,-76.9957981
City Arts & Prep PCS,28.216667,28.216667,33.700001,33.700001,67.083336,67.083336,38.878294,-76.933826,38.9236618,-76.9957981
City Arts & Prep PCS,22.816668,22.816668,29.283333,29.283333,55.983334,55.983334,38.909945,-76.939416,38.9236618,-76.9957981
Columbia Heights EC (CHEC),27.716667,27.716667,39.799999,39.799999,63.116665,63.116665,38.885666,-76.949254,38.9293355,-77.0354854
Columbia Heights EC (CHEC),34.5,34.5,43.416668,43.416668,42.983334,42.983334,38.887729,-76.935951,38.9293355,-77.0354854
Columbia Heights EC (CHEC),36.133335,36.133335,46.099998,46.099998,56.916668,56.916668,38.884242,-76.9253,38.9293355,-77.0354854
DC Bilingual PCS,24.266666,24.266666,29.216667,29.216667,46.216667,46.216667,38.896337,-76.974406,38.927174,-77.0332307
Deal MS,38.016666,38.016666,55.166668,55.166668,53.683334,53.683334,38.895514,-76.939928,38.952647,-77.075116
Deal MS,33.783333,33.783333,51.849998,51.849998,53.349998,53.349998,38.903666,-76.949312,38.952647,-77.075116
Deal MS,36.416668,36.416668,68.76667,68.76667,55.516666,55.516666,38.905784,-76.931696,38.952647,-77.075116
Deal MS,40.083332,40.083332,72.133331,72.133331,65.150002,65.150002,38.892819,-76.92035,38.952647,-77.075116
Deal MS,34.483334,34.483334,51.616665,51.616665,69.949997,69.949997,38.866992,-76.966028,38.952647,-77.075116
Deal MS,36.033333,36.033333,43.849998,43.849998,55.650002,55.650002,38.896337,-76.974406,38.952647,-77.075116
Deal MS,35.966667,35.966667,58.900002,58.900002,71.800003,71.800003,38.867951,-76.944824,38.952647,-77.075116
Dorothy I. Height Community Academy PCS - Online,37.766666,37.766666,45.666668,45.666668,74.76667,74.76667,38.882388,-76.938452,38.9604804,-77.031579
Dorothy I. Height Community Academy PCS - Online,29.566668,29.566668,34.099998,34.099998,63.583332,63.583332,38.896337,-76.974406,38.9604804,-77.031579
Eliot-Hine MS,4.25,4.4000001,4.5083332,4.7583332,11.191667,11.216666,38.896337,-76.974406,38.892192,-76.978976
Eliot-Hine MS,8.4333334,8.4333334,11.183333,11.183333,26.483334,26.483334,38.903666,-76.949312,38.892192,-76.978976
Eliot-Hine MS,7.25,7.25,8.583333,8.583333,23.9,23.9,38.892918,-76.95808,38.892192,-76.978976
Eliot-Hine MS,12.8,12.8,15.616667,15.616667,41.366665,41.366665,38.867951,-76.944824,38.892192,-76.978976
Eliot-Hine MS,8.1416664,8.1416664,12.4,12.4,19.725,19.725,38.884916,-76.930769,38.892192,-76.978976
Eliot-Hine MS,6.8166666,6.8166666,7.6500001,7.6500001,20.316668,20.316668,38.89141,-76.946969,38.892192,-76.978976
Eliot-Hine MS,10.9,10.9,15.066667,15.066667,25.516666,25.516666,38.901565,-76.93079,38.892192,-76.978976
Elsie Whitlow Stokes Community Freedom PCS,23.116667,23.116667,25.616667,25.616667,68.066666,68.066666,38.885666,-76.949254,38.9349506,-76.9900636
Elsie Whitlow Stokes Community Freedom PCS,18.983334,18.983334,23.283333,23.283333,62.583332,62.583332,38.909945,-76.939416,38.9349506,-76.9900636
Friendship PCS - Technology Preparatory Middle School,13.316667,13.316667,16.266666,16.266666,40.700001,40.700001,38.866992,-76.966028,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,20.333334,20.333334,25.366667,25.366667,54.950001,54.950001,38.887729,-76.935951,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,17.716667,17.716667,21.216667,21.216667,51.683334,51.683334,38.882388,-76.938452,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,13.883333,13.883333,17.583334,17.583334,43.599998,43.599998,38.886513,-76.95756,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,17.416666,17.416666,20.483334,20.483334,34.883335,34.883335,38.867951,-76.944824,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,20.15,20.15,25.883333,25.883333,60.516666,60.516666,38.884242,-76.9253,38.8482336,-76.9976677
Friendship PCS - Technology Preparatory Middle School,21.35,21.35,27.483334,27.483334,62.533333,62.533333,38.892819,-76.92035,38.8482336,-76.9976677
Hart MS,10.466666,10.466666,11.15,11.15,28.916666,28.916666,38.859671,-76.957864,38.837622,-76.997434
Hope Community PCS - Lamond,32.049999,32.049999,34.866665,34.866665,68.333336,68.333336,38.888321,-76.92066,38.9658162,-77.0085903
Hope Community PCS - Tolson,22.083334,22.083334,26.733334,26.733334,53.683334,53.683334,38.895514,-76.939928,38.927028,-76.9946004
Hope Community PCS - Tolson,19.566668,19.566668,26.016666,26.016666,50.633335,50.633335,38.901565,-76.93079,38.927028,-76.9946004
Hope Community PCS - Tolson,22.766666,22.766666,29.633333,29.633333,56.799999,56.799999,38.909945,-76.939416,38.927028,-76.9946004
Hope Community PCS - Tolson,22.299999,22.299999,31.183332,31.183332,62.150002,62.150002,38.892819,-76.92035,38.927028,-76.9946004
Ideal Academy PCS,27.416668,27.416668,36.208332,36.208332,72.558334,72.558334,38.909945,-76.939416,38.9652643,-77.0095248
Ideal Academy PCS,28.866667,28.866667,35.316666,35.316666,72.466667,72.466667,38.895319,-76.931306,38.9652643,-77.0095248
Ideal Academy PCS,29.283333,29.283333,35.333332,35.333332,67.050003,67.050003,38.89141,-76.946969,38.9652643,-77.0095248
Ideal Academy PCS,32.950001,32.950001,40.383335,40.383335,67.699997,67.699997,38.887729,-76.935951,38.9652643,-77.0095248
Ideal Academy PCS,34.666668,34.666668,43.583332,43.583332,76.333336,76.333336,38.878294,-76.933826,38.9652643,-77.0095248
Ideal Academy PCS,35.150002,35.150002,43.933334,43.933334,75.866669,75.866669,38.859671,-76.957864,38.9652643,-77.0095248
"Johnson, John Hayden MS",13.033334,13.033334,16,16,62.483334,62.483334,38.903666,-76.949312,38.8514,-76.983664
"Johnson, John Hayden MS",9.9333334,9.9333334,15.091667,15.091667,25.716667,25.716667,38.859671,-76.957864,38.8514,-76.983664
"Johnson, John Hayden MS",16.65,16.65,21.333334,21.333334,46.200001,46.200001,38.884916,-76.930769,38.8514,-76.983664
Kramer MS,8.9416666,8.9416666,9.7749996,9.7749996,23.208334,23.208334,38.859671,-76.957864,38.87141,-76.979976
Kramer MS,15.033334,15.033334,18.366667,18.366667,37.266666,37.266666,38.895514,-76.939928,38.87141,-76.979976
Kramer MS,14.633333,14.633333,17.983334,17.983334,47.883335,47.883335,38.878294,-76.933826,38.87141,-76.979976
Kramer MS,5.4000001,5.1999998,5.3166666,5.1444445,16,15.536111,38.866992,-76.966028,38.87141,-76.979976
Kramer MS,6.8333335,6.8333335,9.416667,9.416667,16.549999,16.549999,38.872617,-76.957974,38.87141,-76.979976
Kramer MS,16.666666,16.666666,21.15,21.15,43.383335,43.383335,38.901565,-76.93079,38.87141,-76.979976
LaSalle-Backus EC,31.966667,31.966667,40.116665,40.116665,69.150002,69.150002,38.867951,-76.944824,38.9597849,-76.999776
Langdon EC,20.333334,20.333334,26.9,26.9,54.166668,54.166668,38.888321,-76.92066,38.9249969,-76.9774768
Mamie D. Lee School,30,30,38.533333,38.533333,54.799999,54.799999,38.887729,-76.935951,38.9529269,-77.0072497
Mary McLeod Bethune Day Academy PCS,18.766666,18.766666,23.633333,23.633333,68.866669,68.866669,38.899093,-76.92036,38.9295686,-76.9863281
Mary McLeod Bethune Day Academy PCS,19.583334,19.583334,22.183332,22.183332,59,59,38.89141,-76.946969,38.9295686,-76.9863281
Mary McLeod Bethune Day Academy PCS,23.283333,23.283333,30.366667,30.366667,66.150002,66.150002,38.888321,-76.92066,38.9295686,-76.9863281
Mary McLeod Bethune Day Academy PCS,19.85,19.85,22.033333,22.033333,65.583336,65.583336,38.885666,-76.949254,38.9295686,-76.9863281
Mary McLeod Bethune Day Academy PCS,18.158333,18.158333,20.65,20.65,56.791664,56.791664,38.892918,-76.95808,38.9295686,-76.9863281
Mary McLeod Bethune Day Academy PCS,18.200001,18.200001,25.6,25.6,60.75,60.75,38.909945,-76.939416,38.9295686,-76.9863281
McKinley MS,22.416666,22.416666,28.416666,28.416666,58.733334,58.733334,38.887729,-76.935951,38.914545,-77.004846
McKinley MS,22.516666,22.516666,29.9,29.9,67.849998,67.849998,38.884916,-76.930769,38.914545,-77.004846
McKinley MS,19.166666,19.166666,23.700001,23.700001,51.566666,51.566666,38.89141,-76.946969,38.914545,-77.004846
McKinley MS,19.683332,19.683332,24.133333,24.133333,52.983334,52.983334,38.885666,-76.949254,38.914545,-77.004846
McKinley MS,19.049999,19.049999,28.233334,28.233334,62.533333,62.533333,38.905784,-76.931696,38.914545,-77.004846
McKinley MS,24.316668,23.972223,32,31.122223,63.150002,68.705559,38.878294,-76.933826,38.914545,-77.004846
Meridian PCS,26.733334,26.733334,32.633335,32.633335,41.033333,41.033333,38.895514,-76.939928,38.9185351,-77.0299375
Noyes EC,20.766666,20.766666,23.183332,23.183332,59.283333,59.283333,38.886513,-76.95756,38.9250297,-76.9915985
Options PCS,10.15,10.15,12.6,12.6,36.900002,36.900002,38.903666,-76.949312,38.895754,-76.9862187
Options PCS,8.5166664,8.5166664,9.3166666,9.3166666,30.366667,30.366667,38.89141,-76.946969,38.895754,-76.9862187
Options PCS,10.75,10.75,16.200001,16.200001,28.333334,28.333334,38.892819,-76.92035,38.895754,-76.9862187
Perry Street Preparatory PCS,25.066668,25.066668,31.033333,31.033333,70.949997,70.949997,38.878294,-76.933826,38.9362681,-76.9782767
Perry Street Preparatory PCS,23.183332,23.183332,29.116667,29.116667,73.933334,73.933334,38.884916,-76.930769,38.9362681,-76.9782767
Perry Street Preparatory PCS,26.75,26.294445,33.266666,32.32222,68.400002,67.916664,38.882388,-76.938452,38.9362681,-76.9782767
Perry Street Preparatory PCS,20.5,20.5,26.950001,26.950001,62.883335,62.883335,38.885666,-76.949254,38.9362681,-76.9782767
Perry Street Preparatory PCS,15.383333,15.383333,20.716667,20.716667,64.433334,64.433334,38.901565,-76.93079,38.9362681,-76.9782767
Perry Street Preparatory PCS,16.35,16.35,20.799999,20.799999,71.216667,71.216667,38.903666,-76.949312,38.9362681,-76.9782767
Potomac Preparatory PCS,21.1,21.1,25.766666,25.766666,60.916668,60.916668,38.903666,-76.949312,38.9430337,-76.9944091
Potomac Preparatory PCS,23.016666,23.016666,30.816668,30.816668,69.883331,69.883331,38.909945,-76.939416,38.9430337,-76.9944091
Potomac Preparatory PCS,22.783333,22.783333,28.25,28.25,78.01667,78.01667,38.901565,-76.93079,38.9430337,-76.9944091
Potomac Preparatory PCS,26.216667,26.216667,30.833334,30.833334,62.950001,62.950001,38.895514,-76.939928,38.9430337,-76.9944091
Potomac Preparatory PCS,29.183332,29.183332,33.25,33.25,63.883335,63.883335,38.887729,-76.935951,38.9430337,-76.9944091
Potomac Preparatory PCS,26.25,26.25,28.799999,28.799999,70.666664,70.666664,38.89141,-76.946969,38.9430337,-76.9944091
Potomac Preparatory PCS,25.233334,25.233334,32.766666,32.766666,69.233337,69.233337,38.866992,-76.966028,38.9430337,-76.9944091
Raymond EC,33.883335,33.883335,42.633335,42.633335,57.25,57.25,38.884916,-76.930769,38.9359279,-77.0261699
Roots PCS,25.883333,25.883333,34.299999,34.299999,69.51667,69.51667,38.895514,-76.939928,38.9567798,-77.0101421
SEED PCS of Washington DC,10.025,10.025,12.041666,12.041666,31.958334,31.958334,38.905784,-76.931696,38.8869027,-76.9464327
SEED PCS of Washington DC,7.4499998,7.8611112,8.333333,8.3777771,16.716667,17.444445,38.895514,-76.939928,38.8869027,-76.9464327
SEED PCS of Washington DC,5.3166666,5.3166666,5.8499999,5.8499999,16,16,38.884916,-76.930769,38.8869027,-76.9464327
SEED PCS of Washington DC,5.75,5.75,6.3666668,6.3666668,17.5,17.5,38.878294,-76.933826,38.8869027,-76.9464327
SEED PCS of Washington DC,6.3333335,6.3333335,6.8499999,6.8499999,20.716667,20.716667,38.875994,-76.966062,38.8869027,-76.9464327
SEED PCS of Washington DC,13.2,13.2,15.533334,15.533334,30.283333,30.283333,38.909945,-76.939416,38.8869027,-76.9464327
SEED PCS of Washington DC,7.0999999,7.0999999,7.4666667,7.4666667,20.516666,20.516666,38.884242,-76.9253,38.8869027,-76.9464327
SEED PCS of Washington DC,6.2166667,6.2166667,8.8916664,8.8916664,17.650002,17.650002,38.895319,-76.931306,38.8869027,-76.9464327
SEED PCS of Washington DC,10.016666,10.016666,13.116667,13.116667,32.299999,32.299999,38.899093,-76.92036,38.8869027,-76.9464327
SEED PCS of Washington DC,9.6499996,9.6499996,11.65,11.65,30.883333,30.883333,38.901565,-76.93079,38.8869027,-76.9464327
SEED PCS of Washington DC,10.35,10.35,10.033334,10.033334,34.299999,34.299999,38.896337,-76.974406,38.8869027,-76.9464327
SEED PCS of Washington DC,3.8833334,3.8833334,4.1833334,4.1833334,14.45,14.45,38.887729,-76.935951,38.8869027,-76.9464327
SEED PCS of Washington DC,3.2666667,3.1866667,3.4333334,3.3366668,14.35,10.676667,38.885666,-76.949254,38.8869027,-76.9464327
SEED PCS of Washington DC,8.3166666,8.3166666,10.016666,10.016666,35,35,38.859671,-76.957864,38.8869027,-76.9464327
SEED PCS of Washington DC,5.3499999,5.3499999,5.5666666,5.5666666,16.133333,16.133333,38.89141,-76.946969,38.8869027,-76.9464327
SEED PCS of Washington DC,7.5166664,7.5166664,8.8249998,8.8249998,20.375,20.375,38.867951,-76.944824,38.8869027,-76.9464327
SEED PCS of Washington DC,8.0166664,8.1899996,12.416667,12.263333,18.933332,20.41,38.892819,-76.92035,38.8869027,-76.9464327
SEED PCS of Washington DC,8.6499996,8.6499996,9.25,9.25,17.091667,17.091667,38.888321,-76.92066,38.8869027,-76.9464327
SWW @ Francis Stevens,23.183332,23.183332,35.150002,35.150002,58.266666,58.266666,38.885666,-76.949254,38.9076352,-77.0521452
SWW @ Francis Stevens,23.516666,23.516666,35.450001,35.450001,49.650002,49.650002,38.903666,-76.949312,38.9076352,-77.0521452
SWW @ Francis Stevens,28.516666,28.516666,41.516666,41.516666,54.466667,54.466667,38.884916,-76.930769,38.9076352,-77.0521452
SWW @ Francis Stevens,29.5,29.5,45.383335,45.383335,45.049999,45.049999,38.892819,-76.92035,38.9076352,-77.0521452
SWW @ Francis Stevens,22.483334,22.483334,39.549999,39.549999,53.950001,53.950001,38.859671,-76.957864,38.9076352,-77.0521452
SWW @ Francis Stevens,21.200001,20.627779,32.516666,31.549999,58.583332,54.022221,38.866992,-76.966028,38.9076352,-77.0521452
Sharpe Health School,34.950001,34.950001,42.216667,42.216667,64.883331,64.883331,38.878294,-76.933826,38.94344,-77.03121
Sousa MS,7.4833331,7.4833331,7.9333334,7.9333334,9.6833334,9.6833334,38.895514,-76.939928,38.884066,-76.953288
Sousa MS,7.5333328,7.5333328,9.2749996,9.2749996,27.241667,27.241667,38.859671,-76.957864,38.884066,-76.953288
Sousa MS,12.166667,12.166667,13.3,13.3,31.466667,31.466667,38.909945,-76.939416,38.884066,-76.953288
Sousa MS,8.2666664,8.2666664,9.7166662,9.7166662,29.783333,29.783333,38.884242,-76.9253,38.884066,-76.953288
Sousa MS,6.0333333,5.7750001,7.4499998,7.1972222,15.883333,15.338889,38.878294,-76.933826,38.884066,-76.953288
Sousa MS,10.25,10.25,10,10,26.15,26.15,38.892918,-76.95808,38.884066,-76.953288
Sousa MS,2.0833333,2.0425925,2.1833334,2.2564814,7.3666668,8.0129633,38.885666,-76.949254,38.884066,-76.953288
Sousa MS,2.8916667,2.9777777,2.9000001,3.0486112,11.95,11.738889,38.886513,-76.95756,38.884066,-76.953288
Sousa MS,3.5916667,3.5916667,3.8833332,3.8833332,12.008333,12.008333,38.875994,-76.966062,38.884066,-76.953288
Sousa MS,5.4583335,5.4583335,5.9499998,5.9499998,13.016666,13.016666,38.89141,-76.946969,38.884066,-76.953288
Sousa MS,4.5916667,4.5916667,4.833333,4.833333,20.641666,20.641666,38.872617,-76.957974,38.884066,-76.953288
Sousa MS,3.7750001,4.1645832,5.1583333,5.3583331,11.033333,11.40625,38.882388,-76.938452,38.884066,-76.953288
Sousa MS,12.2,12.2,13.633333,13.633333,29.866667,29.866667,38.892819,-76.92035,38.884066,-76.953288
Sousa MS,6.5833335,6.7555556,8.1999998,8.3222227,11.4,11.511111,38.867951,-76.944824,38.884066,-76.953288
Stuart-Hobson MS,12.883333,12.883333,16.35,16.35,34.549999,34.549999,38.892918,-76.95808,38.896446,-77.000128
Stuart-Hobson MS,17.416666,17.416666,26.4,26.4,44.566666,44.566666,38.892819,-76.92035,38.896446,-77.000128
Stuart-Hobson MS,16.916666,16.916666,22.233334,22.233334,48.133335,48.133335,38.872617,-76.957974,38.896446,-77.000128
Stuart-Hobson MS,11.116667,11.116667,14.683333,14.683333,37.799999,37.799999,38.89141,-76.946969,38.896446,-77.000128
Stuart-Hobson MS,13.85,13.85,22.033333,22.033333,44.650002,44.650002,38.895319,-76.931306,38.896446,-77.000128
Stuart-Hobson MS,13.933333,13.805555,18.566668,18.422222,38.400002,38.349998,38.895514,-76.939928,38.896446,-77.000128
Stuart-Hobson MS,16.633333,16.633333,23.516666,23.516666,45.700001,45.700001,38.884916,-76.930769,38.896446,-77.000128
Stuart-Hobson MS,11.583333,11.583333,15.183333,15.183333,38.933334,38.933334,38.886513,-76.95756,38.896446,-77.000128
Stuart-Hobson MS,18.883333,18.883333,24.700001,24.700001,54.633335,54.633335,38.859671,-76.957864,38.896446,-77.000128
Stuart-Hobson MS,14.1,13.861111,18.166666,18.4,38.833332,39.822224,38.885666,-76.949254,38.896446,-77.000128
Stuart-Hobson MS,17.299999,17.299999,22.700001,22.700001,51.474998,51.474998,38.867951,-76.944824,38.896446,-77.000128
Stuart-Hobson MS,17.266666,17.266666,25.466667,25.466667,44.25,44.25,38.899093,-76.92036,38.896446,-77.000128
Stuart-Hobson MS,13.683333,13.683333,16.833334,16.833334,33.816666,33.816666,38.866992,-76.966028,38.896446,-77.000128
Stuart-Hobson MS,15.049999,15.3,21.783333,21.791666,43.674999,43.870834,38.882388,-76.938452,38.896446,-77.000128
Stuart-Hobson MS,15.808333,15.808333,22.049999,22.049999,51.808334,51.808334,38.878294,-76.933826,38.896446,-77.000128
Stuart-Hobson MS,13.6,13.6,18.9,18.9,34.266666,34.266666,38.887729,-76.935951,38.896446,-77.000128
Takoma EC,32.283333,32.283333,35.733334,35.733334,60.733334,60.733334,38.901565,-76.93079,38.975217,-77.022757
Tree of Life PCS,16.200001,16.200001,24.383333,24.383333,54.716667,54.716667,38.892819,-76.92035,38.9207757,-76.9777081
Tree of Life PCS,12.466666,12.466666,20,20,56,56,38.903666,-76.949312,38.9207757,-76.9777081
Tree of Life PCS,21.5,21.5,25.183332,25.183332,73.599998,73.599998,38.867951,-76.944824,38.9207757,-76.9777081
Truesdell EC,33.966667,33.966667,41.900002,41.900002,67.783333,67.783333,38.885666,-76.949254,38.9539256,-77.0244158
Two Rivers PCS - 4th Street,19.733334,19.733334,32.400002,32.400002,54.983334,54.983334,38.859671,-76.957864,38.9067354,-77.0001838
Two Rivers PCS - 4th Street,13.75,13.75,16.85,16.85,37.049999,37.049999,38.89141,-76.946969,38.9067354,-77.0001838
Two Rivers PCS - 4th Street,17.541666,17.541666,22.183334,22.183334,45.708336,45.708336,38.887729,-76.935951,38.9067354,-77.0001838
Two Rivers PCS - 4th Street,14.916667,14.916667,21.433332,21.433332,48.166668,48.166668,38.909945,-76.939416,38.9067354,-77.0001838
Walker-Jones EC,23.316668,23.316668,31.75,31.75,64.083336,64.083336,38.884916,-76.930769,38.9045185,-77.0140256
Walker-Jones EC,20.783333,20.783333,25.733334,25.733334,57.700001,57.700001,38.885666,-76.949254,38.9045185,-77.0140256
Walker-Jones EC,14.566667,14.566667,24.033333,24.033333,59.916668,59.916668,38.866992,-76.966028,38.9045185,-77.0140256
Wheatley EC,13.458334,13.458334,14.7,14.7,38.558334,38.558334,38.886513,-76.95756,38.9042927,-76.9884533
Whittier EC,31.700001,31.700001,39.799999,39.799999,74.349998,74.349998,38.895319,-76.931306,38.9658779,-77.019146
